ORDERID,PRODUCTID,CUSTOMERID,UNITPRICE,QUANTITY,NETSALES,UNITCOST
1112,19,74,500,39,15990,375
3382,38,83,15,200,2460,11
3387,20,65,1000,249,204180,750
1113,19,120,500,56,22960,375
3387,38,65,15,673,8278,11
1114,6,8,500,59,24190,375
3391,38,113,15,229,2817,11
1121,50,95,500,807,330870,375
3401,20,16,1000,83,68060,750
1125,19,52,500,29,11890,375
3412,20,39,1000,115,94300,750
1127,19,81,500,46,18860,375
3903,38,41,15,256,3149,11
3908,38,91,15,404,4969,11
1131,34,16,500,97,39770,375
3910,20,108,1000,123,100860,750
1136,19,97,500,45,18450,375
3921,38,61,15,590,7257,11
1140,54,75,500,537,220170,375
3927,38,84,15,129,1587,11
1142,19,106,500,34,13940,375
3935,20,11,1000,127,104140,750
3939,20,100,1000,140,114800,750
1147,50,116,500,497,203770,375
3947,20,12,1000,107,87740,750
1149,19,11,500,27,11070,375
3972,20,113,1000,104,85280,750
1154,19,74,500,40,16400,375
3977,20,37,1000,140,114800,750
1167,19,29,500,27,11070,375
3982,20,30,1000,181,148420,750
1185,19,18,500,19,7790,375
3983,38,78,15,176,2165,11
1188,19,59,500,42,17220,375
3986,20,10,1000,64,52480,750
1190,6,84,500,85,34850,375
4000,38,68,15,329,4047,11
4007,20,23,1000,142,116440,750
1200,19,86,500,46,18860,375
4010,20,56,1000,158,129560,750
1207,6,101,500,78,31980,375
4013,38,19,15,346,4256,11
1214,19,75,500,51,20910,375
4017,38,76,15,297,3653,11
1216,50,13,500,359,147190,375
4023,20,30,1000,192,157440,750
1224,19,2,500,48,19680,375
4024,20,59,1000,183,150060,750
4024,38,59,15,457,5621,11
1234,50,99,500,210,86100,375
4030,38,32,15,623,7663,11
1240,19,65,500,77,31570,375
4044,38,66,15,211,2595,11
1241,19,77,500,27,11070,375
4053,20,119,1000,169,138580,750
4055,38,28,15,467,5744,11
1244,19,35,500,87,35670,375
4056,20,53,1000,88,72160,750
1249,54,102,500,445,182450,375
4057,20,63,1000,284,232880,750
1252,19,70,500,26,10660,375
4072,20,103,1000,142,116440,750
4086,20,86,1000,200,164000,750
1255,19,38,500,31,12710,375
4093,20,88,1000,151,123820,750
1263,19,18,500,21,8610,375
4099,38,12,15,279,3432,11
1278,19,118,500,52,21320,375
4117,20,39,1000,127,104140,750
1291,19,11,500,29,11890,375
4117,38,39,15,316,3887,11
4127,20,16,1000,83,68060,750
1296,19,59,500,45,18450,375
4132,38,89,15,477,5867,11
1300,54,35,500,963,394830,375
4135,20,116,1000,200,164000,750
4145,38,21,15,198,2435,11
1301,19,71,500,50,20500,375
4150,38,74,15,352,4330,11
1302,34,101,500,127,52070,375
4153,38,115,15,288,3542,11
1304,19,12,500,31,12710,375
4155,20,37,1000,134,109880,750
1307,19,30,500,29,11890,375
4161,20,51,1000,67,54940,750
1332,34,9,500,114,46740,375
4166,20,30,1000,182,149240,750
1335,19,70,500,25,10250,375
4172,38,103,15,352,4330,11
1338,19,74,500,47,19270,375
4176,38,42,15,300,3690,11
4177,20,105,1000,142,116440,750
1352,19,117,500,35,14350,375
4197,38,28,15,485,5966,11
1360,19,23,500,37,15170,375
4200,38,67,15,352,4330,11
1362,19,61,500,46,18860,375
4210,20,33,1000,177,145140,750
1362,50,61,500,493,202130,375
4231,38,95,15,692,8512,11
4236,38,50,15,215,2645,11
1363,19,69,500,20,8200,375
4240,38,116,15,475,5843,11
1367,50,120,500,674,276340,375
4244,20,34,1000,136,111520,750
4251,38,96,15,318,3911,11
1367,54,120,500,674,276340,375
4262,20,105,1000,136,111520,750
1371,19,18,500,22,9020,375
4277,20,75,1000,144,118080,750
1373,34,53,500,178,72980,375
4299,38,49,15,344,4231,11
1381,19,29,500,28,11480,375
4316,38,7,15,344,4231,11
4326,20,75,1000,144,118080,750
1388,19,89,500,36,14760,375
4327,20,77,1000,95,77900,750
1396,6,44,500,98,40180,375
4329,38,102,15,326,4010,11
1398,19,56,500,25,10250,375
4333,20,9,1000,69,56580,750
1399,19,71,500,43,17630,375
4335,38,26,15,495,6089,11
4340,38,68,15,344,4231,11
1403,19,31,500,41,16810,375
4344,38,39,15,333,4096,11
1411,19,92,500,43,17630,375
4348,38,88,15,407,5006,11
1412,50,95,500,844,346040,375
4354,38,84,15,142,1747,11
1434,19,119,500,32,13120,375
4362,20,41,1000,117,95940,750
1435,19,15,500,38,15580,375
4375,20,70,1000,115,94300,750
1441,19,2,500,53,21730,375
4395,38,13,15,344,4231,11
4396,20,14,1000,128,104960,750
1455,34,5,500,355,145550,375
4401,38,74,15,344,4231,11
1464,34,78,500,82,33620,375
4412,20,89,1000,214,175480,750
1488,34,32,500,314,128740,375
4417,38,45,15,280,3444,11
4418,38,58,15,500,6150,11
1492,19,53,500,46,18860,375
96,21,118,1500,41,50430,1125
4422,20,32,1000,251,205820,750
1494,19,113,500,30,12300,375
4435,20,47,1000,55,45100,750
105,21,103,1500,39,47970,1125
1498,19,117,500,40,16400,375
4440,20,60,1000,166,136120,750
108,42,37,100,652,53464,75
1499,19,120,500,66,27060,375
4446,20,18,1000,104,85280,750
110,21,73,1500,26,31980,1125
1514,50,118,500,663,271830,375
4449,38,65,15,688,8462,11
123,21,86,1500,43,52890,1125
127,42,30,100,519,42558,75
1520,19,27,500,35,14350,375
4473,38,114,15,344,4231,11
129,21,60,1500,26,31980,1125
1522,19,45,500,20,8200,375
4474,20,115,1000,133,109060,750
4478,20,59,1000,214,175480,750
135,53,70,450,367,135423,337
1523,19,56,500,28,11480,375
140,53,23,450,303,111807,337
1529,19,61,500,51,20910,375
1537,19,37,500,38,15580,375
144,42,2,100,1118,91676,75
1602,19,88,500,31,12710,375
148,21,65,1500,81,99630,1125
1606,19,30,500,37,15170,375
154,21,120,1500,37,45510,1125
1609,6,15,500,102,41820,375
162,53,27,450,244,90036,337
1620,19,112,500,45,18450,375
164,21,38,1500,33,40590,1125
1625,19,77,500,29,11890,375
1626,19,94,500,71,29110,375
204,42,116,100,919,75358,75
1627,19,26,500,39,15990,375
207,21,57,1500,32,39360,1125
1632,6,67,500,93,38130,375
212,21,1,1500,57,70110,1125
1634,54,93,500,1042,427220,375
219,53,13,450,263,97047,337
1642,19,110,500,43,17630,375
1652,50,42,500,366,150060,375
220,21,27,1500,26,31980,1125
1664,19,46,500,38,15580,375
223,21,67,1500,37,45510,1125
1675,19,113,500,25,10250,375
231,21,110,1500,33,40590,1125
1678,19,71,500,46,18860,375
1682,19,110,500,40,16400,375
235,21,86,1500,29,35670,1125
1684,19,9,500,25,10250,375
236,53,102,450,388,143172,337
1695,19,16,500,27,11070,375
252,21,111,1500,43,52890,1125
1700,6,13,500,73,29930,375
262,53,62,450,596,219924,337
1710,50,75,500,616,252560,375
268,21,97,1500,36,44280,1125
1715,19,52,500,41,16810,375
1719,19,14,500,24,9840,375
272,21,74,1500,35,43050,1125
1726,19,19,500,33,13530,375
273,21,95,1500,68,83640,1125
1744,19,63,500,71,29110,375
5828,61,1,120,1969,193750,90
280,42,103,100,873,71586,75
1749,19,16,500,28,11480,375
281,42,107,100,631,51742,75
1750,19,27,500,41,16810,375
5840,61,70,120,836,82262,90
287,21,48,1500,24,29520,1125
1755,19,89,500,41,16810,375
5864,59,117,105,2095,180380,78
298,21,15,1500,28,34440,1125
1759,19,38,500,38,15580,375
5874,59,85,105,1107,95313,78
305,21,46,1500,33,40590,1125
1767,19,80,500,44,18040,375
5880,61,109,120,1425,140220,90
308,21,89,1500,32,39360,1125
1770,19,116,500,64,26240,375
5886,61,74,120,1837,180761,90
1773,50,40,500,237,97170,375
311,21,57,1500,35,43050,1125
5894,61,55,120,2155,212052,90
1775,50,49,500,447,183270,375
5902,61,111,120,1342,132053,90
322,42,114,100,759,62238,75
1790,6,77,500,77,31570,375
5908,61,52,120,2026,199358,90
339,21,24,1500,28,34440,1125
1798,19,102,500,40,16400,375
5910,59,79,105,1272,109519,78
341,21,88,1500,24,29520,1125
1802,6,119,500,92,37720,375
5925,61,112,120,1448,142483,90
1802,34,119,500,155,63550,375
346,53,85,450,241,88929,337
5945,61,92,120,3394,333970,90
1804,50,2,500,658,269780,375
357,21,18,1500,21,25830,1125
5954,61,109,120,1472,144845,90
1805,19,23,500,44,18040,375
359,21,94,1500,54,66420,1125
1811,6,92,500,249,102090,375
5967,61,70,120,910,89544,90
369,21,117,1500,38,46740,1125
1814,19,34,500,58,23780,375
386,53,100,450,341,125829,337
5968,61,93,120,2397,235865,90
1818,19,95,500,97,39770,375
5977,61,68,120,1018,100171,90
389,21,112,1500,30,36900,1125
1823,19,44,500,40,16400,375
395,42,13,100,746,61172,75
1825,54,38,500,435,178350,375
5978,59,90,105,2904,250034,78
1832,19,116,500,68,27880,375
399,53,97,450,346,127674,337
5983,61,22,120,1689,166198,90
1836,19,115,500,27,11070,375
408,53,118,450,389,143541,337
6000,61,39,120,910,89544,90
1839,19,18,500,27,11070,375
412,42,24,100,671,55022,75
6001,61,51,120,1018,100171,90
1843,19,59,500,53,21730,375
418,21,120,1500,46,56580,1125
6028,59,67,105,982,84550,78
1851,19,104,500,42,17220,375
420,42,90,100,683,56006,75
6030,59,92,105,3619,311596,78
1852,19,14,500,23,9430,375
1857,19,31,500,56,22960,375
423,53,55,450,311,114759,337
6050,59,97,105,1042,89716,78
1859,19,103,500,54,22140,375
427,21,57,1500,39,47970,1125
6058,59,22,105,1749,150589,78
1870,19,13,500,33,13530,375
433,21,4,1500,57,70110,1125
6063,48,18,95,673,52427,71
1871,50,19,500,394,161540,375
455,53,86,450,329,121401,337
6065,59,104,105,1581,136124,78
1873,19,43,500,23,9430,375
458,21,112,1500,31,38130,1125
6066,61,1,120,2109,207526,90
1876,34,81,500,236,96760,375
459,42,119,100,519,42558,75
6067,61,39,120,946,93086,90
1877,19,2,500,64,26240,375
461,21,97,1500,39,47970,1125
6069,59,71,105,1001,86186,78
1880,34,56,500,139,56990,375
1919,19,7,500,57,23370,375
6070,61,109,120,1629,160294,90
463,21,67,1500,32,39360,1125
1929,19,114,500,42,17220,375
6075,61,55,120,2144,210970,90
466,21,89,1500,33,40590,1125
1936,19,5,500,92,37720,375
6076,59,13,105,2396,206296,78
1951,19,50,500,21,8610,375
471,42,53,100,897,73554,75
6088,59,5,105,4142,356626,78
1954,34,99,500,85,34850,375
6090,61,32,120,1730,170232,90
472,42,82,100,637,52234,75
1959,19,52,500,47,19270,375
6104,59,111,105,1510,130011,78
487,53,18,450,207,76383,337
1974,19,110,500,46,18860,375
6108,61,97,120,1108,109027,90
491,21,100,1500,36,44280,1125
1975,34,120,500,292,119720,375
6113,61,104,120,1680,165312,90
1003,21,42,1500,36,44280,1125
2007,19,7,500,60,24600,375
6119,59,31,105,4532,390205,78
2020,19,40,500,24,9840,375
1008,42,97,100,1071,87822,75
6130,61,49,120,1680,165312,90
2021,19,65,500,76,31160,375
1016,21,23,1500,38,46740,1125
6131,48,57,95,1846,143803,71
2032,19,93,500,97,39770,375
6133,48,97,95,456,35522,71
1021,42,120,100,1428,117096,75
2034,19,24,500,26,10660,375
6137,61,36,120,925,91020,90
1025,42,104,100,754,61828,75
2036,19,69,500,27,11070,375
6142,61,101,120,2436,239702,90
2040,19,42,500,40,16400,375
1028,21,70,1500,27,33210,1125
6147,48,96,95,617,48064,71
2049,19,59,500,59,24190,375
1034,21,107,1500,24,29520,1125
6156,61,31,120,4289,422038,90
2052,19,14,500,26,10660,375
1048,21,49,1500,37,45510,1125
6162,59,5,105,4289,369283,78
2070,19,95,500,106,43460,375
1054,53,46,450,455,167895,337
6178,61,24,120,1437,141401,90
2071,19,1,500,87,35670,375
1061,21,97,1500,51,62730,1125
6204,61,3,120,2631,258890,90
2074,19,26,500,39,15990,375
1070,53,8,450,254,93726,337
6219,59,67,105,940,80934,78
2078,19,81,500,60,24600,375
1072,21,42,1500,38,46740,1125
6220,59,106,105,1869,160921,78
2105,19,32,500,79,32390,375
1083,21,28,1500,49,60270,1125
2122,19,42,500,41,16810,375
6231,59,68,105,1188,102287,78
2140,19,93,500,101,41410,375
1089,42,80,100,1068,87576,75
6233,59,31,105,702,60442,78
2153,19,33,500,46,18860,375
6236,59,104,105,1609,138535,78
1090,21,106,1500,40,49200,1125
2160,19,110,500,50,20500,375
6238,59,18,105,1720,148092,78
1091,21,107,1500,26,31980,1125
2161,6,17,500,51,20910,375
6256,61,37,120,1027,101057,90
1096,42,118,100,1285,105370,75
2188,19,68,500,39,15990,375
6264,61,86,120,2795,275028,90
2191,19,25,500,35,14350,375
1113,21,120,1500,68,83640,1125
6271,59,91,105,3789,326233,78
2202,19,73,500,32,13120,375
1114,53,8,450,262,96678,337
6275,61,104,120,1522,149765,90
2204,34,21,500,104,42640,375
6281,61,90,120,3446,339086,90
1119,21,68,1500,40,49200,1125
2208,54,93,500,1135,465350,375
6283,61,106,120,1943,191191,90
1147,21,116,1500,54,66420,1125
2215,19,79,500,60,24600,375
6290,61,18,120,1782,175349,90
2226,54,77,500,372,152520,375
1147,42,116,100,1244,102008,75
5339,61,15,120,889,87478,90
2231,19,63,500,86,35260,375
5344,59,52,105,1486,127945,78
1157,53,77,450,274,101106,337
2244,54,33,500,525,215250,375
5347,61,5,120,4342,427253,90
1167,21,29,1500,33,40590,1125
2246,6,62,500,268,109880,375
5352,61,12,120,1334,131266,90
2250,19,112,500,59,24190,375
1181,21,62,1500,108,132840,1125
5362,59,31,105,4103,353268,78
2251,19,12,500,37,15170,375
1182,42,67,100,812,66584,75
5368,61,101,120,1280,125952,90
2277,19,97,500,42,17220,375
1184,21,94,1500,69,84870,1125
5378,61,86,120,1266,124574,90
2285,19,35,500,102,41820,375
1192,42,110,100,1010,82820,75
5380,61,100,120,1410,138744,90
2290,19,66,500,26,10660,375
1193,21,117,1500,37,45510,1125
2302,19,24,500,23,9430,375
1201,21,103,1500,48,59040,1125
2302,34,24,500,96,39360,375
1207,42,101,100,871,71422,75
5389,61,18,120,1174,115522,90
2306,19,88,500,43,17630,375
1208,42,115,100,658,53956,75
5395,59,79,105,911,78437,78
2307,19,102,500,39,15990,375
1209,21,119,1500,33,40590,1125
5399,61,96,120,1460,143664,90
2307,50,102,500,427,175070,375
5409,61,50,120,1339,131758,90
1213,42,48,100,658,53956,75
2308,50,5,500,1031,422710,375
5410,59,57,105,3199,275434,78
1222,42,107,100,549,45018,75
2313,50,93,500,1181,484210,375
5411,61,85,120,1043,102631,90
1227,53,16,450,276,101844,337
2318,19,64,500,54,22140,375
5415,61,19,120,1251,123098,90
2322,19,35,500,106,43460,375
1230,53,69,450,210,77490,337
4485,38,72,15,184,2263,11
5421,59,41,105,1306,112447,78
2325,50,68,500,440,180400,375
1232,21,78,1500,25,30750,1125
4489,38,90,15,422,5191,11
5456,59,77,105,1295,111500,78
2326,34,71,500,241,98810,375
1238,53,8,450,279,102951,337
5476,61,79,120,944,92890,90
2326,54,71,500,641,262810,375
4494,38,91,15,467,5744,11
1241,21,77,1500,32,39360,1125
5480,61,108,120,2196,216086,90
2329,19,43,500,24,9840,375
1242,21,12,1500,39,47970,1125
5492,59,40,105,1173,100995,78
2347,19,27,500,44,18040,375
1243,21,23,1500,42,51660,1125
5492,61,40,120,1173,115423,90
2348,19,63,500,89,36490,375
5495,59,80,105,1173,100995,78
2348,50,63,500,947,388270,375
1245,21,58,1500,58,71340,1125
5513,61,74,120,1419,139630,90
2352,19,24,500,25,10250,375
1245,42,58,100,1301,106682,75
5525,61,90,120,2397,235865,90
2352,34,24,500,102,41820,375
1246,42,79,100,1236,101352,75
5529,59,15,105,1073,92385,78
2367,6,87,500,70,28700,375
1247,42,85,100,931,76342,75
5539,61,93,120,1856,182630,90
2375,19,90,500,35,14350,375
2384,50,119,500,554,227140,375
1256,42,89,100,937,76834,75
5548,59,19,105,1419,122176,78
2387,50,67,500,463,189830,375
5558,59,80,105,1218,104870,78
1260,53,113,450,329,121401,337
2388,19,73,500,35,14350,375
5560,61,24,120,950,93480,90
1270,53,74,450,481,177489,337
2396,50,38,500,473,193930,375
5563,59,79,105,1006,86617,78
1277,21,117,1500,41,50430,1125
2397,50,33,500,560,229600,375
1281,42,76,100,543,44526,75
5567,61,85,120,1185,116604,90
2406,19,53,500,50,20500,375
5579,61,55,120,1699,167182,90
1284,53,37,450,433,159777,337
2416,19,97,500,48,19680,375
5591,59,111,105,1173,100995,78
1295,21,58,1500,60,73800,1125
2417,19,108,500,44,18040,375
5592,59,22,105,1229,105817,78
1299,21,116,1500,60,73800,1125
2437,19,73,500,37,15170,375
5598,61,1,120,1616,159014,90
1303,21,115,1500,31,38130,1125
2440,19,94,500,104,42640,375
5603,59,54,105,807,69483,78
1304,21,12,1500,37,45510,1125
2446,19,2,500,82,33620,375
5607,59,109,105,1297,111672,78
1306,21,57,1500,49,60270,1125
2457,54,1,500,1126,461660,375
5612,48,31,95,1818,141622,71
1308,42,44,100,1057,86674,75
2496,19,21,500,28,11480,375
5613,59,55,105,1798,154808,78
1317,21,62,1500,114,140220,1125
2498,19,32,500,96,39360,375
5614,48,90,95,1094,85223,71
1323,42,39,100,745,61090,75
2500,50,61,500,797,326770,375
1324,21,55,1500,53,65190,1125
5614,61,90,120,2742,269813,90
2534,19,107,500,34,13940,375
1327,42,26,100,799,65518,75
5629,59,112,105,1889,162643,78
2548,50,26,500,530,217300,375
5654,61,98,120,1559,153406,90
1330,42,94,100,1699,139318,75
2549,54,31,500,810,332100,375
1331,53,118,450,589,217341,337
5666,61,86,120,1679,165214,90
2552,54,59,500,847,347270,375
1333,42,24,100,849,69618,75
5691,61,102,120,2128,209395,90
2561,19,75,500,61,25010,375
4496,20,2,1000,294,241080,750
1334,21,42,1500,36,44280,1125
5693,61,24,120,1081,106370,90
2576,19,74,500,62,25420,375
4500,38,18,15,254,3124,11
1335,42,70,100,670,54940,75
2578,19,9,500,24,9840,375
5704,61,85,120,1308,128707,90
4505,38,104,15,344,4231,11
1346,21,81,1500,61,75030,1125
5707,61,114,120,2276,223958,90
2604,34,27,500,181,74210,375
4508,38,58,15,500,6150,11
1359,42,8,100,722,59204,75
5710,61,20,120,822,80885,90
2608,19,66,500,26,10660,375
4509,38,77,15,254,3124,11
1360,21,23,1500,44,54120,1125
5711,61,39,120,822,80885,90
2608,50,66,500,281,115210,375
1374,21,75,1500,66,81180,1125
4511,38,25,15,180,2214,11
5715,61,96,120,1389,136678,90
2617,50,19,500,562,230420,375
1382,53,58,450,512,188928,337
4515,20,61,1000,274,224680,750
5722,61,50,120,1540,151536,90
2642,50,52,500,656,268960,375
4515,38,61,15,643,7909,11
5730,61,26,120,3177,312617,90
1386,42,4,100,1744,143008,75
2645,19,12,500,45,18450,375
4525,38,74,15,344,4231,11
5734,59,9,105,1134,97637,78
1390,21,11,1500,36,44280,1125
2648,19,63,500,103,42230,375
5752,59,90,105,2550,219555,78
4530,38,41,15,301,3702,11
1412,42,95,100,2117,173594,75
2654,50,30,500,659,270190,375
5768,61,106,120,1864,183418,90
1420,53,110,450,399,147231,337
4539,20,49,1000,146,119720,750
2656,34,107,500,144,59040,375
5772,59,12,105,1725,148523,78
1424,42,59,100,1248,102336,75
2662,54,79,500,659,270190,375
4539,38,49,15,344,4231,11
5779,59,50,105,1598,137588,78
1439,21,101,1500,40,49200,1125
2676,19,32,500,105,43050,375
5783,59,51,105,914,78695,78
4546,38,112,15,344,4231,11
1447,21,69,1500,25,30750,1125
2684,34,31,500,315,129150,375
5786,61,102,120,2246,221006,90
2694,50,86,500,856,350960,375
4547,20,120,1000,214,175480,750
2696,50,24,500,257,105370,375
2700,19,95,500,126,51660,375
4591,20,110,1000,146,119720,750
1449,21,105,1500,41,50430,1125
4594,20,49,1000,146,119720,750
2720,54,64,500,670,274700,375
5797,59,52,105,2026,174439,78
2722,19,91,500,57,23370,375
1457,53,48,450,306,112914,337
4616,20,105,1000,148,121360,750
5816,59,9,105,1076,92644,78
2727,50,28,500,830,340300,375
4871,61,120,120,1776,174758,90
4617,20,9,1000,80,65600,750
1459,21,110,1500,46,56580,1125
2732,19,16,500,35,14350,375
1461,21,16,1500,27,33210,1125
4626,20,46,1000,142,116440,750
4875,61,94,120,2327,228977,90
2735,50,96,500,338,138580,375
1470,21,39,1500,33,40590,1125
4627,20,69,1000,73,59860,750
